timestamp,dissolved_oxygen_mg_l,ph,turbidity_ntu,chlorophyll_a_ug_l
2024-01-01 00:00:00,11.96,8.13,9.24,108.44
2024-01-01 00:10:00,9.8,7.78,12.42,141.4
2024-01-01 00:20:00,7.51,7.1,5.08,100.35
2024-01-01 00:30:00,8.91,7.09,12.3,112.43
2024-01-01 00:40:00,10.08,7.62,22.9,142.3
2024-01-01 00:50:00,11.3,7.81,6.33,37.38
2024-01-01 01:00:00,11.1,7.34,22.28,58.89
2024-01-01 01:10:00,9.1,7.43,3.83,12.78
2024-01-01 01:20:00,9.44,7.66,15.9,73.47
2024-01-01 01:30:00,6.36,6.74,17.34,81.83
2024-01-01 01:40:00,7.89,8.24,4.62,148.89
2024-01-01 01:50:00,7.4,8.47,22.43,148.06
2024-01-01 02:00:00,6.0,8.22,5.33,16.72
2024-01-01 02:10:00,7.33,8.47,8.52,13.41
2024-01-01 02:20:00,8.16,6.92,19.57,88.56
2024-01-01 02:30:00,6.11,8.07,19.71,23.76
2024-01-01 02:40:00,8.04,7.36,11.3,74.22
2024-01-01 02:50:00,5.03,7.57,18.54,142.76
2024-01-01 03:00:00,11.24,8.01,13.74,7.6
2024-01-01 03:10:00,5.03,7.97,6.43,132.16
2024-01-01 03:20:00,7.18,6.71,13.08,49.39
2024-01-01 03:30:00,5.46,6.59,23.76,71.11
2024-01-01 03:40:00,8.64,7.55,11.41,104.58
2024-01-01 03:50:00,5.94,8.49,12.76,113.77
2024-01-01 04:00:00,6.15,8.31,20.49,7.77
2024-01-01 04:10:00,6.57,8.47,6.07,8.18
2024-01-01 04:20:00,8.53,6.75,18.07,119.86
2024-01-01 04:30:00,7.63,7.78,19.51,95.35
2024-01-01 04:40:00,9.16,6.6,3.59,126.24
2024-01-01 04:50:00,5.34,6.73,11.66,22.92
2024-01-01 05:00:00,6.77,7.9,5.93,104.43
2024-01-01 05:10:00,5.07,7.34,3.42,80.44
2024-01-01 05:20:00,9.36,7.9,11.05,135.3
2024-01-01 05:30:00,8.58,7.74,7.78,118.79
